food_code,food_name,servings_unit,veg_nonveg_flag,Region,Meal_Type,is_processed_flag,is_spicy_flag,contains_dairy_flag,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,calcium_mg,iron_mg,magnesium_mg,sodium_mg,potassium_mg,zinc_mg,vita_mcg,folate_mcg,vitc_mg,carb_to_fibre_ratio,protein_to_carb_ratio,unsat_to_sat_fat_ratio
ASC083,Cream of green peas soup,soup bowl,0,General,Dessert,0,0,0,522.23,27.58,29.11,60.38,6.58,12.05,10918.91,8752.11,17664.9,208.39,6.06,122.44,20423.76,991.03,2.31,120.29,88.58,52.28,2.288796680497925,1.055474981870921,2.41938160494042
ASC084,Cream of spinach soup,soup bowl,0,General,Dessert,0,0,0,465.12,15.94,24.12,61.58,5.23,8.05,11258.1,8805.63,18126.64,327.4,9.72,241.92,20493.62,1869.62,1.81,120.29,298.06,63.34,1.9801242236024843,1.5131744040150565,2.3922571304216516
ASC085,Cream of mixed vegetable soup,soup bowl,0,General,Evening Snacks,0,0,0,216.16,17.87,24.81,32.79,7.6,7.77,7304.67,3090.43,621.88,236.5,4.94,98.02,20495.35,927.27,1.73,103.64,54.46,39.02,2.2998712998713002,1.3883603805260212,0.5082105009534996
ASC086,Cream of mushroom soup,soup bowl,0,General,Dessert,0,0,0,439.83,14.04,24.9,58.13,7.24,5.01,10959.04,8741.01,17789.35,264.63,6.79,91.16,19786.8,936.77,2.09,120.29,30.72,5.79,2.802395209580838,1.7735042735042734,2.420865331269892
ASC087,Chicken sweet corn soup,soup bowl,1,General,Dessert,0,0,0,68.46,3.95,34.99,30.44,0.64,1.13,256.69,375.2,273.72,221.2,9.25,100.66,29506.4,875.51,2.47,1.74,13.45,2.02,3.4955752212389384,8.858227848101265,2.528029919357981
ASC088,Minestrone soup,soup bowl,0,General,Evening Snacks,0,0,0,98.17,8.55,21.41,25.51,2.34,4.42,1813.02,770.44,238.94,123.24,4.18,71.47,20423.74,689.54,0.91,32.66,23.24,19.43,1.9343891402714934,2.504093567251462,0.5567395836780621
ASC089,Egg drop soup,soup bowl,1,General,Evening Snacks,0,0,0,84.64,3.5,41.08,42.95,1.92,2.58,2954.21,1853.69,509.57,318.18,12.49,125.17,39460.88,1100.74,3.32,89.38,28.19,8.51,1.3565891472868217,11.737142857142857,0.7999634420031075
ASC090,Chinese cabbage and meat ball soup,soup bowl,0,General,Dessert,0,0,0,2254.25,6.65,24.25,263.32,1.74,2.63,30068.21,49861.05,152143.83,191.17,7.07,70.16,19779.29,684.67,1.68,31.53,20.33,16.72,2.52851711026616,3.6466165413533833,6.7182210048419915
ASC091,French onion soup,soup bowl,0,General,Evening Snacks,0,0,0,195.69,15.04,40.14,50.65,5.29,3.57,8532.27,3504.05,586.23,373.79,12.39,132.12,39422.96,1128.45,3.49,156.33,24.85,5.35,4.212885154061625,2.6688829787234045,0.47938942391649586
ASC092,Hot and sour soup,soup bowl,0,General,Evening Snacks,0,0,0,123.85,6.98,12.25,5.16,2.58,2.36,782.21,876.84,495.1,41.98,1.68,29.58,641.6,367.19,0.72,27.53,39.83,24.59,2.9576271186440684,1.7550143266475644,1.753927973306401
